fid;OBJECTID;Nombre_Ban;Este;Norte
34;250;Joel Sport;281808.6183;2163220.317
14;5;Chavez;282785.6107;2164274.995
31;40;Jesús Anibal;281848.6452;2164052.283
43;6;Los Cibaos;282597.6111;2164369.065
46;7;Loteka;282512.1038;2164761.634
38;18;King;282500.9312;2165008.802
30;19;JL;282531.4338;2164927.601
23;4;Fey;282836.7735;2164287.553
9;3;Beco;282938.9712;2164336.808
36;222;Juan Rodríguez;281307.394;2162211.482
40;48;Leidsa;282194.4771;2163523.012
18;2;D'Tony Banca;282930.5444;2164221.532
3;164;Banca;281306.0624;2162895.244
52;113;Neno Cabrera;282425.2381;2162322.697
12;17;Carlito Sport;282442.3237;2165143.825
22;176;Faty López;281170.4647;2162569.805
2;187;B y C;280600.8579;2162610.416
26;146;Flamingo;281223.756;2163006.421
50;226;Minier;281825.0327;2162782.965
21;85;Fabio;282042.1551;2162795.276
51;275;Moise;281461.937;2162981.043
7;150;Banca López;281558.2481;2162985.518
33;148;Joaquin;281358.1877;2162986.403
1;137;Antonio Cruz;282109.9973;2163074.705
35;250;Joel Sport;281808.6183;2163220.317
17;242;Continental;281892.5017;2163264.697
10;77;Beller;282615.5986;2163297.671
41;48;Leidsa;282194.4771;2163523.012
29;92;González;282346.3251;2163468.021
47;7;Loteka;282512.1038;2164761.634
11;68;Byron;282596.5176;2163611.592
53;113;Neno Cabrera;282425.2381;2162322.697
55;10;OM;282462.6353;2165079.136
57;97;Osmar;282299.4477;2162978.067
59;111;Peralta Minier;282323.3191;2162410.078
61;96;R y C;282325.8938;2163046.84
63;69;Raudy;282752.2257;2163641.375
64;126;Real;281588.4381;2161566.285
65;126;Real;281588.4381;2161566.285
66;126;Real;281588.4381;2161566.285
67;118;Tejada;282570.341;2162186.518
68;118;Tejada;282570.341;2162186.518
69;79;Victor;282532.631;2163094.716
70;316;banca;282058.3947;2161217.877
44;6;Los Cibaos;282597.6111;2164369.065
6;42;Banca José;281906.007;2163901.106
27;146;Flamingo;281223.756;2163006.421
8;1;Banca Miguel;283165.6218;2164027.139
42;205;Lino;281434.7466;2164058.426
37;25;Juancito Sport;282659.7744;2164085.293
16;5;Chavez;282785.6107;2164274.995
19;66;Duarte;282950.4009;2164101.596
45;6;Los Cibaos;282597.6111;2164369.065
24;4;Fey;282836.7735;2164287.553
48;7;Loteka;282512.1038;2164761.634
15;5;Chavez;282785.6107;2164274.995
32;40;Jesús Anibal;281848.6452;2164052.283
4;164;Banca;281306.0624;2162895.244
49;7;Loteka;282512.1038;2164761.634
28;146;Flamingo;281223.756;2163006.421
25;4;Fey;282836.7735;2164287.553
5;164;Banca;281306.0624;2162895.244
39;9;La Real;282396.3566;2165040.299
20;12;Edickson Batista;282374.9211;2165142.096
13;17;Carlito Sport;282442.3237;2165143.825
54;33;Nicol;282145.957;2164186.749
56;10;OM;282462.6353;2165079.136
58;11;Out 27 Sport;282384.6317;2165094.698
60;27;Prospero;282201.5995;2164308.87
62;23;Ramirez;282620.4294;2164173.244
